productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
97077,Team Magma's Great Ball,Team Magmas Great Ball,https://tcgplayer-cdn.tcgplayer.com/product/97077_200w.jpg,3,1525,https://cpt.tcgcsv.com/zRN,2024-07-26T17:27:08.523,1,31/34,Uncommon,Item,,,,,,,10.19,11.15,12.11,12.64,,Reverse Holofoil,"Search your deck for a Basic Pokemon that has Team Magma in its name and a basic Fighting Energy, reveal them, and put them into your hand. Shuffle your deck afterward.",
97078,Team Magma's Secret Base,Team Magmas Secret Base,https://tcgplayer-cdn.tcgplayer.com/product/97078_200w.jpg,3,1525,https://cpt.tcgcsv.com/BRN,2022-12-14T16:29:37.117,1,32/34,Uncommon,Stadium,,,,,,,1.5,2.51,5.94,3.21,,Normal,"Whenever any player plays a Basic Pokemon from his or her hand to his or her Bench <em>(excluding Pokemon with Team Magma in their names)</em>, put 2 damage counters on that Pokemon.",
97078,Team Magma's Secret Base,Team Magmas Secret Base,https://tcgplayer-cdn.tcgplayer.com/product/97078_200w.jpg,3,1525,https://cpt.tcgcsv.com/BRN,2022-12-14T16:29:37.117,1,32/34,Uncommon,Stadium,,,,,,,1.83,3.48,9.99,4.84,,Reverse Holofoil,"Whenever any player plays a Basic Pokemon from his or her hand to his or her Bench <em>(excluding Pokemon with Team Magma in their names)</em>, put 2 damage counters on that Pokemon.",
97079,Double Aqua Energy,Double Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/97079_200w.jpg,3,1525,https://cpt.tcgcsv.com/CRN,2022-12-14T16:29:43.007,1,33/34,Uncommon,Special Energy,,,,,,,0.3,0.68,2.79,0.84,,Normal,"This card can only be attached to Pokemon with Team Aqua in their names. At the end of your turn, discard this card.
<br>While in play, this card provides WW Energy
<br><em>(If this card is attached to anything other than a Team Aqua Pokemon, discard this card.)</em>",
97079,Double Aqua Energy,Double Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/97079_200w.jpg,3,1525,https://cpt.tcgcsv.com/CRN,2022-12-14T16:29:43.007,1,33/34,Uncommon,Special Energy,,,,,,,0.9,2.82,5.24,2.74,,Reverse Holofoil,"This card can only be attached to Pokemon with Team Aqua in their names. At the end of your turn, discard this card.
<br>While in play, this card provides WW Energy
<br><em>(If this card is attached to anything other than a Team Aqua Pokemon, discard this card.)</em>",
97080,Double Magma Energy,Double Magma Energy,https://tcgplayer-cdn.tcgplayer.com/product/97080_200w.jpg,3,1525,https://cpt.tcgcsv.com/DRN,2024-07-26T17:27:08.57,1,34/34,Uncommon,Special Energy,,,,,,,0.24,0.58,2.4,0.67,,Normal,"This card can only be attached to Pokemon with Team Magma in their names. At the end of your turn, discard this card.
<br>While in play, this card provides FF Energy
<br><em>(If this card is attached to anything other than a Team Magma Pokemon, discard this card.)</em>",
97080,Double Magma Energy,Double Magma Energy,https://tcgplayer-cdn.tcgplayer.com/product/97080_200w.jpg,3,1525,https://cpt.tcgcsv.com/DRN,2024-07-26T17:27:08.57,1,34/34,Uncommon,Special Energy,,,,,,,0.66,1.66,2.32,2.51,,Reverse Holofoil,"This card can only be attached to Pokemon with Team Magma in their names. At the end of your turn, discard this card.
<br>While in play, this card provides FF Energy
<br><em>(If this card is attached to anything other than a Team Magma Pokemon, discard this card.)</em>",
97764,Double Crisis: Team Magma Blister,Double Crisis Team Magma Blister,https://tcgplayer-cdn.tcgplayer.com/product/97764_200w.jpg,3,1525,https://cpt.tcgcsv.com/j7P,2018-10-10T15:05:48.51,1,,,,,,,,,,,,,,,,,
97765,Double Crisis: Team Aqua Blister,Team Aqua Blister,https://tcgplayer-cdn.tcgplayer.com/product/97765_200w.jpg,3,1525,https://cpt.tcgcsv.com/k7P,2018-10-10T15:05:39.483,1,,,,,,,,,,2300.0,2300.0,2300.0,,,Normal,,
229226,Double Crisis Booster Pack,Double Crisis Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/229226_200w.jpg,3,1525,https://cpt.tcgcsv.com/xJR2,2020-12-16T18:37:41.813,1,,,,,,,,,,400.0,407.5,414.99,236.48,,Normal,Each booster pack contains 7 random cards.,
