productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extSubtypes,extPower,extCounterplus,extAttribute
649317,Inazuma,Inazuma,https://tcgplayer-cdn.tcgplayer.com/product/649317_200w.jpg,68,24406,https://cpt.tcgcsv.com/mLc7,2025-08-15T13:19:54.357,1,1.29,1.48,4.01,2.52,,Normal,UC,OP12-083,,Black,Character,5,Revolutionary Army,6000,2000,Slash
649318,Emporio.Ivankov (084),EmporioIvankov 084,https://tcgplayer-cdn.tcgplayer.com/product/649318_200w.jpg,68,24406,https://cpt.tcgcsv.com/nLc7,2025-08-15T13:19:48.36,1,1.49,2.0,5.61,2.14,,Normal,UC,OP12-084,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Play] If your Leader has the ""Revolutionary Army"" type, trash 3 cards from the top of your deck.",Black,Character,3,Revolutionary Army,4000,1000,Special
649319,Mizerka,Mizerka,https://tcgplayer-cdn.tcgplayer.com/product/649319_200w.jpg,68,24406,https://cpt.tcgcsv.com/pLc7,2025-08-15T13:19:42.62,1,0.37,0.7,1.99,0.93,,Normal,UC,OP12-092,,Black,Character,6,Animal Kingdom Pirates;SMILE,7000,2000,Strike
649320,Morley,Morley,https://tcgplayer-cdn.tcgplayer.com/product/649320_200w.jpg,68,24406,https://cpt.tcgcsv.com/qLc7,2025-08-15T13:19:37.093,1,3.99,3.99,3.99,1.62,,Normal,UC,OP12-093,"If your Leader has the ""Revolutionary Army"" type, this Character gains +4 cost.",Black,Character,4,Giant;Revolutionary Army,5000,2000,Special
649321,Hair Removal Fist,Hair Removal Fist,https://tcgplayer-cdn.tcgplayer.com/product/649321_200w.jpg,68,24406,https://cpt.tcgcsv.com/rLc7,2025-08-15T13:19:30.433,1,4.55,7.13,8.5,4.14,,Normal,UC,OP12-098,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have a ""Revolutionary Army"" type Character with a cost of 8 or more, that card gains an additional +2000 power during this battle.<br>
[Trigger] Draw 1 card and trash 1 card from the top of your deck.",Black,Event,1,Revolutionary Army;Impel Down,,,
649322,Seto,Seto,https://tcgplayer-cdn.tcgplayer.com/product/649322_200w.jpg,68,24406,https://cpt.tcgcsv.com/sLc7,2025-08-15T13:19:24.35,1,0.48,0.5,0.7,0.6,,Normal,UC,OP12-103,,Yellow,Character,5,Sky Island;Shandian Warrior;Jaya,6000,2000,Slash
649323,Trafalgar Law (106),Trafalgar Law 106,https://tcgplayer-cdn.tcgplayer.com/product/649323_200w.jpg,68,24406,https://cpt.tcgcsv.com/tLc7,2025-08-15T13:19:18.797,1,2.49,2.66,5.0,2.61,,Normal,UC,OP12-106,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character,6,Heart Pirates;Supernovas;Dressrosa,7000,1000,Slash
649324,Roronoa Zoro (113),Roronoa Zoro 113,https://tcgplayer-cdn.tcgplayer.com/product/649324_200w.jpg,68,24406,https://cpt.tcgcsv.com/vLc7,2025-08-15T13:19:12.67,1,2.15,3.02,10.0,3.12,,Normal,UC,OP12-113,"[On K.O.] If your Leader has the ""Supernovas"" type, play up to 1 ""Supernovas"" type Character card with a cost of 4 or less from your hand rested.<br>
[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 1 or less and add this card to your hand.",Yellow,Character,5,Straw Hat Crew;Supernovas,6000,1000,Slash
649325,Wyper,Wyper,https://tcgplayer-cdn.tcgplayer.com/product/649325_200w.jpg,68,24406,https://cpt.tcgcsv.com/wLc7,2025-08-15T13:19:04.65,1,1.2,2.33,3.74,2.09,,Normal,UC,OP12-114,,Yellow,Character,6,Sky Island;Shandian Warrior,7000,2000,Ranged
649326,I Love You!!,I Love You,https://tcgplayer-cdn.tcgplayer.com/product/649326_200w.jpg,68,24406,https://cpt.tcgcsv.com/xLc7,2025-08-15T13:18:57.84,1,2.0,2.5,10.0,2.96,,Normal,UC,OP12-115,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, add up to 1 [Trafalgar Law] from your trash to your hand.",Yellow,Event,1,Donquixote Pirates;Navy,,,
